,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual %
0,2022,,,-0.14,-0.4,-0.18,-0.81,-0.2,0.52,-0.68,-0.21,0.21,0.67,
1,2023,9.19,0.76,-0.54,0.01,-0.5,0.17,0.35,0.5,-0.27,-0.37,-0.35,0.29,9.22
2,2024,2.37,-0.1,1.31,0.21,-0.48,0.1,-0.36,0.3,0.26,-0.12,-0.34,0.89,4.08
3,2025,-0.62,-0.68,0.26,-0.8,-0.38,0.33,0.58,-0.01,0.86,0.51,-0.2,0.42,0.26
4,2026,0.69,,,,,,,,,,,,0.69
