ticker,sector,spider_id,batch,batch_name,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
PRG,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,3.2964,0.6691,463.81,4.6381,665.78,201.97,12.8128,-7.2934,33.3603,-11.1473,17.4,1,6
NBN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,5,4,1,80.0,5.019,0.6649,283.58,2.8358,354.14,70.56,6.0177,-4.3353,7.7695,-4.3353,16.6,0,5
AEHR,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,11,4,7,36.36,3.2041,0.6648,721.48,7.2148,1048.82,327.34,35.2388,-6.4312,95.338,-14.8867,11.0,0,11
SMP,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,3.2878,0.6646,416.01,4.1601,597.85,181.84,8.1068,-4.6217,12.9503,-5.052,33.0,1,5
KD,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,3,3,0,100.0,inf,0.6608,171.59,1.7159,171.59,0.0,5.3494,0.0,11.7447,2.0041,17.7,0,3
SSRM,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,3.67,0.6602,211.38,2.1138,290.55,79.17,10.7512,-4.9125,11.6048,-4.9125,26.7,0,3
HLNE,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,3.3512,0.6573,564.29,5.6429,804.29,240.0,9.1317,-4.8409,20.6484,-7.0925,16.9,0,8
AX,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,2.3121,0.6566,372.43,3.7243,656.27,283.84,13.7583,-7.2504,22.2708,-8.3661,12.4,0,7
INOD,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,8,2,6,25.0,2.0834,0.6544,515.64,5.1564,991.6,475.96,51.3473,-11.5751,100.5917,-14.4988,11.0,0,8
PWP,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,2.5967,0.65,461.41,4.6141,750.39,288.98,15.9296,-7.9709,26.755,-9.2769,20.7,0,7
