ticker,sector,spider_id,batch,batch_name,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
WOLF,Technology,SECTOR_TECHNOLOGY,B2,Batch 2 — 2024 to 2026,4,1,3,25.0,27.4942,19.0305,7624.51,76.2451,7912.29,287.78,1637.9518,-15.4002,1637.9518,-17.6312,10.8,1,3
ASST,Financials,SECTOR_FINANCIALS,B2,Batch 2 — 2024 to 2026,5,1,4,20.0,18.1816,10.7383,4214.81,42.1481,4460.12,245.31,1073.486,-20.4437,1073.486,-29.066,5.4,0,5
ROOT,Financials,SECTOR_FINANCIALS,B2,Batch 2 — 2024 to 2026,9,5,4,55.56,12.265,3.3615,3265.26,32.6526,3555.12,289.86,92.852,-10.3126,383.871,-13.8792,12.6,1,8
VITL,Consumer Staples,SECTOR_CONSUMER_STAPLES,B2,Batch 2 — 2024 to 2026,9,5,4,55.56,18.6936,3.3018,2926.7,29.267,3092.11,165.41,37.7052,-3.4341,157.1252,-8.6664,17.7,0,9
ABTC,Financials,SECTOR_FINANCIALS,B2,Batch 2 — 2024 to 2026,5,1,4,20.0,5.4848,3.1269,1573.77,15.7377,1924.68,350.91,416.129,-17.5418,416.129,-21.1519,13.0,0,5
CRSR,Technology,SECTOR_TECHNOLOGY,B2,Batch 2 — 2024 to 2026,3,2,1,66.67,11.1877,3.0535,1013.17,10.1317,1112.62,99.45,48.0115,-8.3316,85.7605,-8.3316,33.3,1,2
ORKA,Healthcare,SECTOR_HEALTHCARE,B2,Batch 2 — 2024 to 2026,6,3,3,50.0,6.064,3.0144,1804.77,18.0477,2161.16,356.39,75.4413,-15.9177,132.6364,-20.5379,26.0,1,5
RGTI,Technology,SECTOR_TECHNOLOGY,B2,Batch 2 — 2024 to 2026,9,5,4,55.56,14.9459,2.9084,2679.15,26.7915,2871.26,192.11,106.9269,-7.5909,314.916,-11.1272,13.0,0,9
BETR,Financials,SECTOR_FINANCIALS,B2,Batch 2 — 2024 to 2026,5,1,4,20.0,5.2083,2.8613,1434.4,14.344,1775.25,340.85,228.8283,-13.6747,228.8283,-15.8599,17.4,0,5
LUMN,Communication Services,SECTOR_COMMUNICATION_SERVICES,B2,Batch 2 — 2024 to 2026,10,4,6,40.0,9.4697,2.6147,2057.96,20.5796,2300.94,242.98,85.023,-5.7456,301.5504,-14.8414,16.2,0,10
VFF,Consumer Staples,SECTOR_CONSUMER_STAPLES,B2,Batch 2 — 2024 to 2026,5,4,1,80.0,32.7736,2.561,1275.71,12.7571,1315.86,40.15,42.9837,-4.2735,69.1083,-4.2735,16.6,0,5
SATL,Industrials,SECTOR_INDUSTRIALS,B2,Batch 2 — 2024 to 2026,8,2,6,25.0,5.7488,2.5456,2119.19,21.1919,2565.45,446.26,147.4223,-11.8339,170.4545,-15.5583,8.9,1,7
MBI,Financials,SECTOR_FINANCIALS,B2,Batch 2 — 2024 to 2026,5,2,3,40.0,11.8508,2.5324,1154.85,11.5485,1261.28,106.43,52.7952,-3.4606,57.0539,-9.6866,17.4,0,5
EXAS,Healthcare,SECTOR_HEALTHCARE,B2,Batch 2 — 2024 to 2026,7,5,2,71.43,14.8167,2.4194,1678.45,16.7845,1799.93,121.48,22.7898,-4.8875,76.2931,-7.8186,25.1,1,6
HYMC,Materials,SECTOR_MATERIALS,B2,Batch 2 — 2024 to 2026,9,4,5,44.44,5.6627,2.3767,1862.71,18.6271,2262.2,399.49,89.6893,-10.9781,257.4163,-13.0366,15.7,0,9
