total_trades,closed_trades,incomplete_trades,winning_trades,losing_trades,win_rate_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_win_r,avg_loss_r,expectancy_r,profit_factor,gross_wins_usd,gross_losses_usd,net_pnl_usd,net_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,avg_hold_days,max_hold_days,min_hold_days,stage6_entries,stage7_entries,account_equity,ticker
24,24,0,14,10,58.33,4.3901,-2.2135,11.5503,-7.2473,1.0631,-0.5206,0.4032,2.8892,1400.81,484.85,915.96,9.1596,-1.8197,6.0388,12.9559,5.0337,12,35,1,0,24,10000,AAPL
25,25,0,11,14,44,4.8744,-2.8618,19.4985,-6.4186,1.0626,-0.7021,0.0744,1.1778,1068.02,906.77,161.25,1.6125,-2.6187,1.5793,4.4251,0.6158,11.1,61,1,0,25,10000,MSFT
22,22,0,9,13,40.91,23.8773,-4.6122,44.4632,-10.4277,3.1707,-0.6384,0.9199,3.4645,2763.58,797.68,1965.9,19.659,-1.6561,6.0666,40.3567,11.8707,16.8,61,1,0,22,10000,NVDA
25,25,0,13,12,52,4.8623,-2.6064,15.7972,-5.9181,1.2807,-0.6286,0.3642,2.2636,1627.45,718.98,908.47,9.0847,-2.5241,3.8019,13.3964,3.5991,12.8,38,2,0,25,10000,JPM
12,11,1,3,9,25,8.2159,-2.8259,13.1554,-4.9258,2.2396,-0.7422,0.0032,0.9128,600.99,658.39,-57.4,-0.574,-5.3738,-0.1758,-0.7124,-0.1068,8.4,30,1,0,12,10000,XOM
