total_trades,closed_trades,incomplete_trades,winning_trades,losing_trades,win_rate_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_win_r,avg_loss_r,expectancy_r,profit_factor,gross_wins_usd,gross_losses_usd,net_pnl_usd,net_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,avg_hold_days,max_hold_days,min_hold_days,stage6_entries,stage7_entries,account_equity,ticker
56,56,0,32,24,57.14,3.3657,-2.0503,11.5503,-7.2473,0.8431,-0.5217,0.2581,2.15,2581.16,1200.56,1380.6,13.806,-2.7739,4.5805,10.1114,4.9772,10.9,35,1,0,56,10000,AAPL
64,64,0,32,32,50,5.4464,-2.703,19.4985,-6.4186,1.3522,-0.6957,0.3282,1.9699,3977.98,2019.36,1958.62,19.5862,-6.8211,3.7152,13.5097,2.8714,13.8,61,1,0,64,10000,MSFT
67,67,0,29,38,43.28,16.8917,-4.7297,44.4632,-10.4277,2.4277,-0.6458,0.6845,2.9736,7013.34,2358.56,4654.78,46.5478,-4.0095,5.134,23.7231,11.6094,14.8,61,1,0,67,10000,NVDA
66,66,0,31,35,46.97,4.2293,-2.4532,15.7972,-5.9181,1.1957,-0.6588,0.2123,1.6139,3515.79,2178.47,1337.32,13.3732,-5.4945,2.4263,8.2139,2.4339,10.9,38,1,0,66,10000,JPM
28,24,4,12,16,42.86,6.6225,-3.1419,13.1554,-4.9258,1.9313,-0.8276,0.3548,1.7341,2274.06,1311.35,962.71,9.6271,-10.351,2.8674,11.9086,0.9301,9.4,30,1,0,28,10000,XOM
