total_trades,closed_trades,incomplete_trades,winning_trades,losing_trades,win_rate_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_win_r,avg_loss_r,expectancy_r,profit_factor,gross_wins_usd,gross_losses_usd,net_pnl_usd,net_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,avg_hold_days,max_hold_days,min_hold_days,stage6_entries,stage7_entries,account_equity,ticker
24,24,0,14,10,58.33,4.3901,-2.5744,11.5503,-7.2473,0.7317,-0.4291,0.248,2.432,942.56,387.57,554.99,5.5499,-1.5375,5.1973,9.4545,3.6096,12.1,35,2,0,24,10000,AAPL
25,25,0,11,14,44,4.8744,-3.1615,19.4985,-6,0.8124,-0.5269,0.0624,1.3186,827.91,627.87,200.04,2.0004,-1.9836,1.0564,2.6238,1.0085,11.5,61,2,0,25,10000,MSFT
24,24,0,9,15,37.5,21.0331,-4.4384,43.3658,-6.8287,3.5055,-0.7397,0.8522,2.8764,3104.48,1079.28,2025.2,20.252,-4.1726,5.0422,39.3054,4.8536,13.9,51,1,0,24,10000,NVDA
25,25,0,13,12,52,4.8623,-2.6105,15.7972,-6,0.8104,-0.4351,0.2126,2.0331,989.15,486.53,502.62,5.0262,-1.8724,3.7787,11.9296,2.6844,13,38,2,0,25,10000,JPM
11,10,1,4,7,36.36,6.5283,-2.9935,14.1493,-6,1.088,-0.4989,0.0782,1.2862,435.04,338.24,96.8,0.968,-3.1519,1.1594,3.3463,0.3071,12.6,52,2,0,11,10000,XOM
